2021-02-04 10:10:39,318 [Worker-38: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 10:12:33,359 [Worker-36: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:12:33,361 [Worker-36: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 10:12:33,362 [Worker-36: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:12:33,363 [Worker-36: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 21:32:57,406 [Worker-111: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 21:33:00,511 [Worker-111: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 21:33:04,161 [Worker-111: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 21:33:04,169 [Worker-111: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:32:04,450 [Worker-131: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:32:04,488 [Worker-131: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:32:04,490 [Worker-131: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:32:04,491 [Worker-131: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:32:29,925 [Worker-132: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:32:29,927 [Worker-132: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:32:29,929 [Worker-132: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:32:29,930 [Worker-132: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:34:02,512 [Worker-124: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:34:02,514 [Worker-124: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:34:02,516 [Worker-124: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
